conversation_id,timestamp,sender,text,sentiment,answered,category
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:51,user,Kına,"sentiment=nötr 
","Hayır 
","konu = [
""Etkinlik Türü"",
""Hizmet Türü"",
""Mekan ve Lokasyon"",
""Tarih ve Zaman"",
""Bütçe ve Kapasite"",
""Ikram ve Menü""
] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:34:06,user,Diyarbakır’da hem düğün hem kına,"sentiment=nötr 
","Hayır 
","konu = [
""Etkinlik Türü"", 
""Hizmet Türü"", 
""Mekan ve Lokasyon"",
""Tarih ve Zaman"", 
""Bütçe ve Kapasite"",
""İkram ve Menü""
] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:35:27,user,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz","sentiment=pozitif 
","[Hayır] 
","konu = [
Etkinlik Türüyle İlgili Kelimeler,

2. Hizmet Türüyle İlgili Kelimeler,
3. Mekan ve Lokasyonla İlgili Kelimeler,
4. Tarih ve Zamanla İlgili Kelimeler,
5. Bütçe ve Kapasiteyle İlgili Kelimeler,
6. İkram ve Menüyle İlgili Kelimeler
] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:14,user,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda","sentiment=pozitif 
","Hayır 
","konu = [
""Etkinlik Türü"",
""Hizmet Türü"",
""Mekan"",
""Lokasyon"",
""Bütçe""
] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:43,user,Davet sayısını 600 e çekelim o zaman,"sentiment=nötr 
","[Hayır] 
","konu = [
Etkinlik Türüyle İlgili Kelimeler,
 Davetli Sayısı
] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:19,user,Düğün,"Sentiment: Nötr 
","Hayır 
","konu = [
""Etkinlik Türüyle İlgili Kelimeler"",
""Hizmet Türüyle İlgili Kelimeler"",
""Mekan ve Lokasyonla İlgili Kelimeler"",
""Tarih ve Zamanla İlgili Kelimeler"",
""Bütçe ve Kapasiteyle İlgili Kelimeler"",
""Irakım ve Menüyle İlgili Kelimeler""
] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:52,user,Adıyaman Kahta,"sentiment=nötr 
","Hayır 
","* Etkinlik Türü
* Mekan ve Lokasyon
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:24,user,Ağustos ayı,"Sentiment: Nötr 
","Hayır 
","konu = [
  2. Hizmet Türüyle İlgili Kelimeler   
] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:47,user,200 e Yakın,"Sentiment: Nötr 
","Hayır 
","konu = [2. Hizmet Türüyle İlgili Kelimeler]  
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:57:11,user,Yemekli,"Sentimnet: Nötr 
","Hayır 
","konu=[6. İkram ve Menüyle İlgili Kelimeler] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:04,user,Açık yada kapalı düğün salonu,"sentiment=nötr 
","Hayır 
","konu = [
Etkinlik Türüyle İlgili Kelimeler,
Mekân ve Lokasyonla İlgili Kelimeler
] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:43,user,500,"Sentiment: Nötr 
","Hayır 
","konu = [ 2. Hizmet Türüyle İlgili Kelimeler ] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:59:37,user,Adıyaman Kahta köşk düğün salonu,"Sentiment: Nötr 
","Hayır 
","konu = [
    ""Etkinlik Türü"",
    ""Hizmet Türü"",
    ""Mekan ve Lokasyon"",
    ""Tarih ve Zaman"",
    ""Bütçe ve Kapasite"",
    ""Ikram ve Menü"" 
] 
"
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:56:19,user,Kına,"sentiment=nötr 
","[Hayır] 
","konu = [
Etkinlik Türüyle İlgili Kelimeler,
Hizmet Türüyle İlgili Kelimeler,
Mekan ve Lokasyonla İlgili Kelimeler,
Tarih ve Zamanla İlgili Kelimeler,
Bütçe ve Kapasiteyle İlgili Kelimeler,
İkram ve Menüyle İlgili Kelimeler
] 
"
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:56:45,user,Abiye istiyorum,"sentiment=pozitif 
","[Hayır] 
","konu = [2. Hizmet Türüyle İlgili Kelimeler ]  
"
