conversation_id,timestamp,text,intent,category,sentiment,answered
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:51,Kına,Organizasyon arıyor,Organizasyon,Pozitif,Evet
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:34:06,Diyarbakır’da hem düğün hem kına,Organizasyon arıyor,Organizasyon,Pozitif,Evet
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:35:27,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz",Yemek/İkram soruyor,Yemek/İkram,Nötr,Evet
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:14,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda",Mekan arıyor,"Mekan, Fotoğrafçı",Pozitif,Evet
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:43,Davet sayısını 600 e çekelim o zaman,Diğer,Genel,Pozitif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:19,Düğün,Organizasyon arıyor,Genel,Pozitif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:52,Adıyaman Kahta,Konum belirtiyor,Genel,Pozitif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:24,Ağustos ayı,Tarih ayarlaması istiyor,Genel,Pozitif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:47,200 e Yakın,Diğer,Genel,Pozitif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:57:11,Yemekli,Yemek/İkram soruyor,Yemek/İkram,Nötr,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:04,Açık yada kapalı düğün salonu,Mekan arıyor,Mekan,Pozitif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:43,500,Diğer,Genel,Negatif,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:59:37,Adıyaman Kahta köşk düğün salonu,Mekan arıyor,Mekan,Pozitif,Evet
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:56:19,Kına,Organizasyon arıyor,Organizasyon,Pozitif,Evet
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:56:45,Abiye istiyorum,Kıyafet arıyor,Kıyafet,Pozitif,Evet
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:57:43,İstanbul Türkiye bütçe 4000 bin TL,Fiyat ayarlaması istiyor,Genel,Negatif,Evet
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:58:51,Bağcılar Esenler,Diğer,Genel,Pozitif,Evet
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:59:32,Ok,Diğer,Genel,Pozitif,Evet
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T20:01:01,Peki uygun fiyata olnine site bula bilirmisib,Fiyat ayarlaması istiyor,Genel,Pozitif,Evet
9f1fc574-98e7-4e66-b86c-e77c51347f3b,2025-06-10T20:41:04,Düğün,Organizasyon arıyor,Genel,Pozitif,Evet
9f1fc574-98e7-4e66-b86c-e77c51347f3b,2025-06-10T20:41:54,2025.11.15,Diğer,Genel,Pozitif,Evet
9f1fc574-98e7-4e66-b86c-e77c51347f3b,2025-06-10T20:42:23,Düğün mekanı,Mekan arıyor,Mekan,Pozitif,Evet
9f1fd866-240c-42d0-a3b5-84133bcba6fb,2025-06-10T21:34:31,Merbah,Diğer,Genel,Negatif,Evet
9f1fd866-240c-42d0-a3b5-84133bcba6fb,2025-06-10T21:35:06,Şeşi,Diğer,Genel,Pozitif,Evet
9f1fd866-240c-42d0-a3b5-84133bcba6fb,2025-06-10T21:36:02,https://images.app.goo.gl/cid7SnWHy1pyLv118,Diğer,Genel,Nötr,Evet
9f1fda47-f4d0-4293-ac53-8b46ff243af4,2025-06-10T21:39:15,Nişan,Diğer,Organizasyon,Pozitif,Evet
9f1fda47-f4d0-4293-ac53-8b46ff243af4,2025-06-10T21:41:31,Nişanlık beğenmiştim de onu,Kıyafet arıyor,"Kıyafet, Organizasyon",Negatif,Evet
9f1fda47-f4d0-4293-ac53-8b46ff243af4,2025-06-10T21:41:40,Fiyatı ne kadar,Fiyat ayarlaması istiyor,Genel,Negatif,Evet
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:57:04,Düğün,Organizasyon arıyor,Genel,Pozitif,Evet
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:57:48,23.08.25 pastalı olcak 600 kişi,Yemek/İkram soruyor,Yemek/İkram,Negatif,Evet
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:58:15,Konya da olacak,Konum belirtiyor,Genel,Pozitif,Evet
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:58:35,100,Diğer,Genel,Pozitif,Evet
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:43:30,merhaba,Diğer,Genel,Pozitif,Evet
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:43:47,okulumuzun mezuniyet töreni için fiyat almak istiyorum,Fiyat ayarlaması istiyor,Organizasyon,Nötr,Evet
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:44:12,istanbul tuzla,Konum belirtiyor,Genel,Pozitif,Evet
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:44:19,28-29 haziran,Tarih ayarlaması istiyor,Genel,Nötr,Evet
